event_date,entry_date,exit_date,entry_price,exit_price,gross_return,transaction_cost,net_return
2021-02-22,2021-02-23,2021-03-02,14782.25,14919.099609375,0.009257698210691778,0.001,0.008257698210691777
2021-04-12,2021-04-13,2021-04-22,14364.900390625,14406.150390625,0.002871582738361411,0.001,0.0018715827383614112
2021-11-26,2021-11-29,2021-12-06,17055.80078125,16912.25,-0.008416537170615301,0.001,-0.009416537170615302
2021-12-20,2021-12-21,2021-12-28,16773.150390625,17233.25,0.027430721042849715,0.001,0.026430721042849714
2022-01-24,2022-01-25,2022-02-02,17001.55078125,17780.0,0.04578695371768715,0.001,0.04478695371768715
2022-02-14,2022-02-15,2022-02-22,16933.25,17092.19921875,0.009386811081747437,0.001,0.008386811081747436
2022-02-24,2022-02-25,2022-03-07,16515.650390625,15863.150390625,-0.03950798088886576,0.001,-0.04050798088886576
2022-03-07,2022-03-08,2022-03-15,15747.75,16663.0,0.05811941388452313,0.001,0.05711941388452313
2022-05-04,2022-05-05,2022-05-12,16854.75,15808.0,-0.06210415461516783,0.001,-0.06310415461516783
2022-05-12,2022-05-13,2022-05-20,15977.0,16266.150390625,0.01809791516711523,0.001,0.01709791516711523
2022-06-13,2022-06-14,2022-06-21,15674.25,15638.7998046875,-0.0022616836730624534,0.001,-0.0032616836730624535
2024-01-17,2024-01-18,2024-01-29,21414.19921875,21737.599609375,0.01510214728654602,0.001,0.014102147286546018
2024-06-04,2024-06-05,2024-06-12,22128.349609375,23322.94921875,0.0539850296322546,0.001,0.0529850296322546
2024-08-05,2024-08-06,2024-08-13,24189.849609375,24139.0,-0.0021021052299263765,0.001,-0.0031021052299263765
2024-10-03,2024-10-04,2024-10-11,25181.900390625,24964.25,-0.008643128089968477,0.001,-0.009643128089968478
2025-04-07,2025-04-08,2025-04-17,22446.75,23851.650390625,0.06258814263200696,0.001,0.06158814263200696
2026-03-13,2026-03-16,2026-03-23,23116.099609375,22512.650390625,-0.02610514874686143,0.001,-0.02710514874686143
2026-03-23,2026-03-24,2026-04-02,22878.44921875,22713.099609375,-0.0072273084505871665,0.001,-0.008227308450587167
2026-07-08,2026-07-09,2026-07-16,23928.94921875,24072.75,0.006009490008751506,0.001,0.005009490008751506
