event_index,event_date,holding_period,forward_return
22,2021-02-22,1,0.013512827884794243
22,2021-02-22,3,-0.017121859620490842
22,2021-02-22,5,0.009257698210691778
26,2021-02-26,1,0.014732161834722035
26,2021-02-26,3,0.02572691719095399
26,2021-02-26,5,0.017255582065125008
54,2021-04-12,1,0.015074925603300926
54,2021-04-12,3,-0.0003794105886077981
54,2021-04-12,5,0.002871582738361411
209,2021-11-26,1,-0.00425670793363242
209,2021-11-26,3,0.02027753570827384
209,2021-11-26,5,-0.008416537170615301
225,2021-12-20,1,0.010868490646032347
225,2021-12-20,3,0.013748139377793178
225,2021-12-20,5,0.027430721042849715
250,2022-01-24,1,0.006387629621102953
250,2022-01-24,3,0.019898115911760828
250,2022-01-24,5,0.04578695371768715
264,2022-02-14,1,0.022969555091314486
264,2022-02-14,3,0.020259004104350886
264,2022-02-14,5,0.009386811081747437
272,2022-02-24,1,0.01684765621812545
272,2022-02-24,3,-0.0010656322311708433
272,2022-02-24,5,-0.03950798088886576
278,2022-03-07,1,0.037948253520344144
278,2022-03-07,3,0.056052402327316564
278,2022-03-07,5,0.05811941388452313
316,2022-05-04,1,-0.026313057150061603
316,2022-05-04,3,-0.036470442772067235
316,2022-05-04,5,-0.06210415461516783
322,2022-05-12,1,-0.008430881599330253
322,2022-05-12,3,0.016479927689021734
322,2022-05-12,5,0.01809791516711523
327,2022-05-19,1,0.010652114380975242
327,2022-05-19,3,-0.0011219287337866923
327,2022-05-19,5,0.019237985663148383
344,2022-06-13,1,0.0011420253361404953
344,2022-06-13,3,-0.024291433401917195
344,2022-06-13,5,-0.0022616836730624534
347,2022-06-16,1,0.005074430306318822
347,2022-06-16,3,0.009209234184319293
347,2022-06-16,5,0.02793225789001652
740,2024-01-17,1,0.009722575649371068
740,2024-01-17,3,0.0018562449893151367
740,2024-01-17,5,0.01510214728654602
830,2024-06-04,1,0.0313195874741774
830,2024-06-04,3,0.05110410985624969
830,2024-06-04,5,0.0539850296322546
872,2024-08-05,1,0.004450229842821285
872,2024-08-05,3,0.007344005584728919
872,2024-08-05,5,-0.0021021052299263765
913,2024-10-03,1,-0.015334441985512703
913,2024-10-03,3,-0.007940273322240565
913,2024-10-03,5,-0.008643128089968477
1040,2025-04-07,1,-0.002120556845645827
1040,2025-04-07,3,0.039284118246516675
1040,2025-04-07,5,0.06258814263200696
1271,2026-03-13,1,0.020118047123373506
1271,2026-03-13,3,-0.004929431031859166
1271,2026-03-13,5,-0.02610514874686143
1275,2026-03-19,1,-0.025854440144291946
1275,2026-03-19,3,0.00849405238853973
1275,2026-03-19,5,-0.03369731424664002
1277,2026-03-23,1,0.01870756168426113
1277,2026-03-23,3,-0.023911097421614902
1277,2026-03-23,5,-0.0072273084505871665
1280,2026-03-27,1,0.005753969474131759
1280,2026-03-27,3,0.018563463385181
1280,2026-03-27,5,0.06420051724402254
1281,2026-03-30,1,-0.008118275497838279
1281,2026-03-30,3,0.009810489131621525
1281,2026-03-30,5,0.03825929557513419
1347,2026-07-08,1,0.011615686478084308
1347,2026-07-08,3,0.005144461688419755
1347,2026-07-08,5,0.006009490008751506
