Threshold,Holding_Period,Observations,Mean_Return,Median_Return,Std_Dev,Win_Rate
-0.015,1,207,-0.002307991377383257,-0.0014035203140376762,0.018145596940366666,0.4492753623188406
-0.015,3,207,-0.0005934546252843312,0.0033275682257216666,0.03036220708959844,0.5362318840579711
-0.015,5,207,0.0022817078203611987,0.004921260009223882,0.036578621217120154,0.5314009661835749
-0.02,1,124,-0.0024255662761925563,-0.0010841937130966484,0.021172555371534525,0.45161290322580644
-0.02,3,124,-0.0009157634133953838,0.0037454464366840634,0.032696874691904965,0.532258064516129
-0.02,5,124,0.00020199129937133948,-0.0007347701197683021,0.0436091836093606,0.49193548387096775
-0.025,1,75,-0.0002971772884266599,0.0010619206964359584,0.021496625218166934,0.56
-0.025,3,75,0.0027747264332296908,0.005070531104092391,0.03391413854839072,0.5866666666666667
-0.025,5,75,0.003119986691063105,0.009506420578493158,0.047204741918279586,0.5866666666666667
-0.03,1,53,-0.0002900340570973539,0.0005769980693794974,0.024593293392500406,0.5283018867924528
-0.03,3,53,0.0017272705743365405,0.006782467466005526,0.04411293695580173,0.5849056603773585
-0.03,5,53,0.0074232859972477114,0.013620136204216315,0.04858368612414845,0.6037735849056604
